LRU Name,Project,Division / Group,System,Part Number,Serial No,Received Data,Type of Test,Test Rig,Date of PI,Results & Remarks,Date of Clearance
EPGS Controller,AMCA,Avionics Group,GEN,EPGS863,181 / 1610000085412024,Unit received for inspection,Functional Test,AMCA Rig 1,18-12-2024,Pending,
Hydraulic Pump Unit,MIG-21 Upgrade,Quality Assurance,HYD,HDP0016,182 / 1610000086412024,Unit received for inspection,PI Starter,IJT EPGS,24-08-2024,OK,28-08-2024
EPGS Controller,LCH,Hydraulics,AVIONICS,HDP0093,183 / 1610000087412024,Unit received for inspection,Functional Test,LCA EPGS,10-05-2025,Under Review,
Hydraulic Pump Unit,MIG-21 Upgrade,TD/Sagar,PNEU,HDP0002,184 / 1610000088412024,Unit received for inspection,PI,LCA EPGS,30-10-2024,OK,02-11-2024
Hydraulic Pump Unit,LCH,Quality Assurance,GEN,AVN229,185 / 1610000089412024,Unit received for inspection,PI,Engine Test Cell,26-10-2024,Pending,
"5RW GEN, DCMB GPRU",LCA,Avionics Group,GEN,EPGS448,186 / 1610000090412024,Unit received for inspection,PI,Engine Test Cell,10-08-2025,OK,18-08-2025
5RW GEN,IJT,TD/Sagar,AVIONICS,AVN802,187 / 1610000091412024,Unit received for inspection,Functional Test,LCA EPGS,14-02-2025,OK,24-02-2025
EPGS Controller,IJT,Quality Assurance,AVIONICS,STM710,188 / 1610000092412024,Unit received for inspection,Endurance Test,TEJAS Rig A,01-05-2024,OK,08-05-2024
EPGS Controller,MIG-21 Upgrade,A/C Division,AVIONICS,EPGS412,189 / 1610000093412024,Unit received for inspection,Calibration,LCA EPGS,31-10-2024,NOT OK,
"5RW GEN, DCMB GPRU",IJT,Hydraulics,ELE,GCCAIA260,190 / 1610000094412024,Unit received for inspection,PI Starter,LCA EPGS,02-10-2025,OK,13-10-2025
5RW GEN,IJT,Avionics Group,PNEU,EPGS398,191 / 1610000095412024,Unit received for inspection,Calibration,Engine Test Cell,06-04-2025,NOT OK,
EPGS Controller,ALH,Quality Assurance,HYD,HDP0081,192 / 1610000096412024,Unit received for inspection,Endurance Test,LCA EPGS,13-03-2024,NOT OK,
DCMB GPRU,LCH,TD/Sagar,ELE,AVN252,193 / 1610000097412024,Unit received for inspection,PI,IJT EPGS,18-08-2024,Pending,
5RW GEN,TEJAS,ELE Group,PNEU,HDP0057,194 / 1610000098412024,Unit received for inspection,Calibration,TEJAS Rig A,01-09-2025,OK,11-09-2025
5RW GEN,TEJAS,ELE Group,PNEU,GCCAIA712,195 / 1610000099412024,Unit received for inspection,Acceptance Test,AMCA Rig 1,27-05-2025,OK,04-06-2025
5RW GEN,LCH,ELE Group,PNEU,STM701,196 / 1610000100412024,Unit received for inspection,Acceptance Test,LCA EPGS,03-04-2024,OK,14-04-2024
EPGS Controller,TEJAS,ELE Group,GEN,HDP0024,197 / 1610000101412024,Unit received for inspection,PI,TEJAS Rig A,26-04-2025,OK,04-05-2025
"5RW GEN, DCMB GPRU",AMCA,Engine Division,GEN,GCCAIA978,198 / 1610000102412024,Unit received for inspection,Functional Test,Avionics Rig,22-02-2025,OK,05-03-2025
DCMB GPRU,AMCA,Avionics Group,ELE,EPGS190,199 / 1610000103412024,Unit received for inspection,Endurance Test,Engine Test Cell,17-02-2026,NOT OK,
EPGS Controller,TEJAS,Engine Division,ELE,AVN990,200 / 1610000104412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,02-01-2024,Pending,
5RW GEN,IJT,Avionics Group,AVIONICS,EPGS878,201 / 1610000105412024,Unit received for inspection,PI Starter,AMCA Rig 1,29-09-2025,OK,10-10-2025
EPGS Controller,LCH,TD/Sagar,HYD,GCCAIA745,202 / 1610000106412024,Unit received for inspection,Functional Test,Hydraulic Test Bench,16-12-2025,NOT OK,
5RW GEN,ALH,Quality Assurance,HYD,GCCAIA572,203 / 1610000107412024,Unit received for inspection,Endurance Test,Avionics Rig,19-07-2025,OK,23-07-2025
"5RW GEN, DCMB GPRU",TEJAS,Hydraulics,HYD,EPGS583,204 / 1610000108412024,Unit received for inspection,Endurance Test,IJT EPGS,05-06-2025,OK,12-06-2025
5RW GEN,AMCA,Quality Assurance,GEN,AVN239,205 / 1610000109412024,Unit received for inspection,Functional Test,Engine Test Cell,04-06-2025,Pending,
Hydraulic Pump Unit,AMCA,Quality Assurance,AVIONICS,GCCAIA389,206 / 1610000110412024,Unit received for inspection,Acceptance Test,Avionics Rig,30-09-2024,Pending,
DCMB GPRU,MIG-21 Upgrade,Quality Assurance,AVIONICS,EPGS453,207 / 1610000111412024,Unit received for inspection,Endurance Test,TEJAS Rig A,01-06-2024,NOT OK,
Starter Motor Assembly,IJT,Quality Assurance,GEN,22460074,208 / 1610000112412024,Unit received for inspection,PI,AMCA Rig 1,12-07-2024,OK,
Starter Motor Assembly,TEJAS,ELE Group,HYD,AVN930,209 / 1610000113412024,Unit received for inspection,Endurance Test,LCA EPGS,29-04-2025,Under Review,
Starter Motor Assembly,LCA,Hydraulics,GEN,HDP0013,210 / 1610000114412024,Unit received for inspection,PI,Avionics Rig,29-05-2025,OK,
Starter Motor Assembly,LCH,Avionics Group,PNEU,22460010,211 / 1610000115412024,Unit received for inspection,Acceptance Test,Avionics Rig,23-02-2025,OK,
EPGS Controller,TEJAS,Avionics Group,GEN,AVN979,212 / 1610000116412024,Unit received for inspection,Acceptance Test,LCA EPGS,27-10-2025,NOT OK,11-11-2025
Hydraulic Pump Unit,AMCA,TD/Sagar,ELE,22460081,213 / 1610000117412024,Unit received for inspection,Endurance Test,LCA EPGS,11-03-2024,Pending,
"5RW GEN, DCMB GPRU",ALH,Avionics Group,ELE,GCCAIA554,214 / 1610000118412024,Unit received for inspection,PI,AMCA Rig 1,21-12-2025,Under Review,
EPGS Controller,TEJAS,Hydraulics,HYD,22460032,215 / 1610000119412024,Unit received for inspection,PI Starter,IJT EPGS,27-10-2024,OK,03-11-2024
"5RW GEN, DCMB GPRU",TEJAS,Hydraulics,HYD,STM799,216 / 1610000120412024,Unit received for inspection,PI Starter,TEJAS Rig A,16-09-2025,OK,
Hydraulic Pump Unit,LCA,Quality Assurance,GEN,EPGS361,217 / 1610000121412024,Unit received for inspection,Functional Test,Avionics Rig,17-09-2024,Under Review,
DCMB GPRU,MIG-21 Upgrade,Avionics Group,GEN,GCCAIA552,218 / 1610000122412024,Unit received for inspection,Calibration,AMCA Rig 1,10-06-2024,Pending,
"5RW GEN, DCMB GPRU",TEJAS,Hydraulics,PNEU,EPGS209,219 / 1610000123412024,Unit received for inspection,Acceptance Test,AMCA Rig 1,05-11-2024,NOT OK,22-11-2024
Hydraulic Pump Unit,TEJAS,Avionics Group,ELE,GCCAIA949,220 / 1610000124412024,Unit received for inspection,Acceptance Test,Engine Test Cell,29-10-2024,Under Review,
EPGS Controller,ALH,Engine Division,PNEU,AVN150,221 / 1610000125412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,07-03-2026,Under Review,
Hydraulic Pump Unit,LCH,ELE Group,HYD,HDP0087,222 / 1610000126412024,Unit received for inspection,Calibration,LCA EPGS,12-08-2024,OK,22-08-2024
Starter Motor Assembly,LCA,Hydraulics,PNEU,GCCAIA416,223 / 1610000127412024,Unit received for inspection,Calibration,IJT EPGS,23-10-2025,Under Review,
"5RW GEN, DCMB GPRU",LCH,Hydraulics,PNEU,22460026,224 / 1610000128412024,Unit received for inspection,Acceptance Test,Hydraulic Test Bench,29-10-2024,OK,05-11-2024
DCMB GPRU,ALH,Quality Assurance,PNEU,EPGS925,225 / 1610000129412024,Unit received for inspection,PI,TEJAS Rig A,17-06-2024,OK,01-07-2024
Hydraulic Pump Unit,TEJAS,Quality Assurance,AVIONICS,AVN841,226 / 1610000130412024,Unit received for inspection,Functional Test,LCA EPGS,24-05-2024,OK,28-05-2024
Hydraulic Pump Unit,ALH,ELE Group,PNEU,EPGS477,227 / 1610000131412024,Unit received for inspection,Acceptance Test,TEJAS Rig A,15-01-2024,NOT OK,23-01-2024
"5RW GEN, DCMB GPRU",TEJAS,A/C Division,AVIONICS,GCCAIA791,228 / 1610000132412024,Unit received for inspection,Acceptance Test,AMCA Rig 1,15-01-2025,Under Review,
Hydraulic Pump Unit,LCH,Engine Division,PNEU,AVN164,229 / 1610000133412024,Unit received for inspection,Calibration,TEJAS Rig A,14-08-2024,Pending,
5RW GEN,LCA,TD/Sagar,AVIONICS,HDP0064,230 / 1610000134412024,Unit received for inspection,PI Starter,TEJAS Rig A,23-05-2024,OK,24-05-2024
EPGS Controller,TEJAS,Hydraulics,HYD,AVN813,231 / 1610000135412024,Unit received for inspection,Endurance Test,Avionics Rig,14-01-2025,NOT OK,
DCMB GPRU,IJT,Engine Division,GEN,GCCAIA806,232 / 1610000136412024,Unit received for inspection,PI Starter,Engine Test Cell,16-05-2025,OK,21-05-2025
Hydraulic Pump Unit,AMCA,A/C Division,GEN,HDP0070,233 / 1610000137412024,Unit received for inspection,Functional Test,IJT EPGS,11-04-2024,OK,
EPGS Controller,LCA,A/C Division,PNEU,AVN754,234 / 1610000138412024,Unit received for inspection,PI Starter,IJT EPGS,10-04-2025,OK,14-04-2025
EPGS Controller,IJT,Hydraulics,HYD,GCCAIA949,235 / 1610000139412024,Unit received for inspection,PI Starter,AMCA Rig 1,29-07-2024,Pending,
EPGS Controller,AMCA,Quality Assurance,HYD,22460017,236 / 1610000140412024,Unit received for inspection,PI,Avionics Rig,02-09-2025,OK,16-09-2025
DCMB GPRU,LCA,TD/Sagar,PNEU,22460076,237 / 1610000141412024,Unit received for inspection,PI,IJT EPGS,14-05-2024,OK,27-05-2024
Hydraulic Pump Unit,LCA,Engine Division,GEN,STM216,238 / 1610000142412024,Unit received for inspection,Functional Test,Hydraulic Test Bench,07-03-2025,Under Review,
"5RW GEN, DCMB GPRU",MIG-21 Upgrade,A/C Division,AVIONICS,EPGS615,239 / 1610000143412024,Unit received for inspection,Functional Test,TEJAS Rig A,21-04-2024,Pending,
Starter Motor Assembly,TEJAS,ELE Group,ELE,GCCAIA590,240 / 1610000144412024,Unit received for inspection,Endurance Test,Avionics Rig,01-02-2024,Under Review,
"5RW GEN, DCMB GPRU",LCA,TD/Sagar,PNEU,HDP0078,241 / 1610000145412024,Unit received for inspection,Acceptance Test,Avionics Rig,16-03-2024,NOT OK,
Starter Motor Assembly,MIG-21 Upgrade,Hydraulics,PNEU,AVN432,242 / 1610000146412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,15-07-2025,Pending,
Hydraulic Pump Unit,LCA,Quality Assurance,AVIONICS,GCCAIA912,243 / 1610000147412024,Unit received for inspection,Calibration,Engine Test Cell,16-03-2025,Pending,
Starter Motor Assembly,TEJAS,Engine Division,ELE,EPGS447,244 / 1610000148412024,Unit received for inspection,Functional Test,TEJAS Rig A,16-03-2025,OK,20-03-2025
5RW GEN,LCA,Quality Assurance,ELE,AVN585,245 / 1610000149412024,Unit received for inspection,PI,TEJAS Rig A,12-11-2025,OK,15-11-2025
5RW GEN,MIG-21 Upgrade,Hydraulics,AVIONICS,22460072,246 / 1610000150412024,Unit received for inspection,Functional Test,Avionics Rig,01-02-2026,OK,14-02-2026
Hydraulic Pump Unit,LCA,Avionics Group,AVIONICS,EPGS988,247 / 1610000151412024,Unit received for inspection,Functional Test,AMCA Rig 1,24-02-2025,OK,07-03-2025
"5RW GEN, DCMB GPRU",LCH,A/C Division,PNEU,AVN593,248 / 1610000152412024,Unit received for inspection,Acceptance Test,AMCA Rig 1,14-08-2025,OK,17-08-2025
EPGS Controller,LCH,Quality Assurance,AVIONICS,EPGS965,249 / 1610000153412024,Unit received for inspection,Acceptance Test,Avionics Rig,19-02-2026,OK,23-02-2026
Hydraulic Pump Unit,LCH,ELE Group,PNEU,GCCAIA723,250 / 1610000154412024,Unit received for inspection,PI,IJT EPGS,24-07-2025,Under Review,
"5RW GEN, DCMB GPRU",LCH,TD/Sagar,AVIONICS,HDP0001,251 / 1610000155412024,Unit received for inspection,Calibration,TEJAS Rig A,20-12-2025,OK,26-12-2025
EPGS Controller,IJT,Engine Division,GEN,GCCAIA864,252 / 1610000156412024,Unit received for inspection,Endurance Test,AMCA Rig 1,25-05-2024,OK,26-05-2024
5RW GEN,LCA,TD/Sagar,HYD,STM710,253 / 1610000157412024,Unit received for inspection,Acceptance Test,LCA EPGS,13-01-2025,OK,19-01-2025
Hydraulic Pump Unit,TEJAS,Engine Division,AVIONICS,HDP0057,254 / 1610000158412024,Unit received for inspection,Endurance Test,TEJAS Rig A,24-03-2024,Under Review,
5RW GEN,AMCA,ELE Group,AVIONICS,HDP0056,255 / 1610000159412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,08-08-2024,OK,10-08-2024
Starter Motor Assembly,MIG-21 Upgrade,A/C Division,ELE,GCCAIA325,256 / 1610000160412024,Unit received for inspection,PI Starter,AMCA Rig 1,11-11-2024,Under Review,
5RW GEN,LCA,Engine Division,GEN,HDP0042,257 / 1610000161412024,Unit received for inspection,PI Starter,IJT EPGS,24-02-2026,OK,01-03-2026
Hydraulic Pump Unit,LCH,Avionics Group,ELE,STM672,258 / 1610000162412024,Unit received for inspection,Endurance Test,Engine Test Cell,29-06-2025,NOT OK,
Starter Motor Assembly,LCA,Quality Assurance,PNEU,EPGS119,259 / 1610000163412024,Unit received for inspection,Acceptance Test,TEJAS Rig A,13-02-2024,Under Review,
Starter Motor Assembly,AMCA,A/C Division,GEN,AVN755,260 / 1610000164412024,Unit received for inspection,PI,AMCA Rig 1,18-02-2025,Pending,
Starter Motor Assembly,LCH,A/C Division,HYD,HDP0012,261 / 1610000165412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,24-09-2025,OK,06-10-2025
"5RW GEN, DCMB GPRU",AMCA,Quality Assurance,HYD,AVN447,262 / 1610000166412024,Unit received for inspection,PI,Hydraulic Test Bench,20-06-2025,NOT OK,04-07-2025
